Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Season,Final_Date,cbmr_english_total_words_read,cbmr_english_words_read_correct,cbmr_english_wrc_per_minute,cbmr_english_median_accuracy,cbmr_english_error_twr_wrc,cbmr_english_percentile_at_school,cbmr_english_percentile_at_lea,cbmr_english_percentile_at_nation,cbmr_english_risk_level,cbmr_english_final_date,concepts_of_print_total_items,concepts_of_print_items_correct,concepts_of_print_ic_per_minute,concepts_of_print_error_total_items_items_correct,concepts_of_print_percentile_at_school,concepts_of_print_percentile_at_lea,concepts_of_print_percentile_at_nation,concepts_of_print_risk_level,concepts_of_print_final_date,decodable_words_total_words_read,decodable_words_words_read_correct,decodable_words_wrc_per_minute,decodable_words_percentile_at_school,decodable_words_percentile_at_lea,decodable_words_percentile_at_nation,decodable_words_risk_level,decodable_words_final_date,early_reading_english_composite_score,early_reading_english_percentile_at_school,early_reading_english_percentile_at_lea,early_reading_english_percentile_at_nation,early_reading_english_risk_level,letter_names_total_words_read,letter_names_words_read_correct,letter_names_wrc_per_minute,letter_names_percentile_at_school,letter_names_percentile_at_lea,letter_names_percentile_at_nation,letter_names_risk_level,letter_names_final_date,letter_sounds_total_words_read,letter_sounds_words_read_correct,letter_sounds_wrc_per_minute,letter_sounds_percentile_at_school,letter_sounds_percentile_at_lea,letter_sounds_percentile_at_nation,letter_sounds_risk_level,letter_sounds_final_date,nonsense_words_total_words_read,nonsense_words_words_read_correct,nonsense_words_wrc_per_minute,nonsense_words_percentile_at_school,nonsense_words_percentile_at_lea,nonsense_words_percentile_at_nation,nonsense_words_risk_level,nonsense_words_final_date,onset_sounds_total_items,onset_sounds_items_correct,onset_sounds_ic_per_minute,onset_sounds_error_total_items_items_correct,onset_sounds_percentile_at_school,onset_sounds_percentile_at_lea,onset_sounds_percentile_at_nation,onset_sounds_risk_level,onset_sounds_final_date,oral_repetition_total_items,oral_repetition_items_correct,oral_repetition_ic_per_minute,oral_repetition_error_total_items_items_correct,oral_repetition_percentile_at_school,oral_repetition_percentile_at_lea,oral_repetition_percentile_at_nation,oral_repetition_risk_level,oral_repetition_final_date,sentence_reading_total_words_read,sentence_reading_words_read_correct,sentence_reading_wrc_per_minute,sentence_reading_percentile_at_school,sentence_reading_percentile_at_lea,sentence_reading_percentile_at_nation,sentence_reading_risk_level,sentence_reading_final_date,sight_words_total_words_read,sight_words_words_read_correct,sight_words_wrc_per_minute,sight_words_percentile_at_school,sight_words_percentile_at_lea,sight_words_percentile_at_nation,sight_words_risk_level,sight_words_final_date,word_blending_total_items,word_blending_items_correct,word_blending_ic_per_minute,word_blending_error_total_items_items_correct,word_blending_percentile_at_school,word_blending_percentile_at_lea,word_blending_percentile_at_nation,word_blending_risk_level,word_blending_final_date,word_rhyming_total_items,word_rhyming_items_correct,word_rhyming_ic_per_minute,word_rhyming_error_total_items_items_correct,word_rhyming_percentile_at_school,word_rhyming_percentile_at_lea,word_rhyming_percentile_at_nation,word_rhyming_risk_level,word_rhyming_final_date,word_segmenting_total_items,word_segmenting_items_correct,word_segmenting_ic_per_minute,word_segmenting_error_total_items_items_correct,word_segmenting_percentile_at_school,word_segmenting_percentile_at_lea,word_segmenting_percentile_at_nation,word_segmenting_risk_level,word_segmenting_final_date,decodable_words_error,letter_names_error,letter_sounds_error,nonsense_words_error,sentence_reading_error,sight_words_error
Early Reading English,,,,,,575435,,,,,,,,Kindergarten,Spring,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,63.21839,32.386364,18,someRisk,,,,,,,,,23,20,20,27.586206,17.1875,8,highRisk,3/14/2023,7,7,7,54.022987,27.130682,17,someRisk,3/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,28,17,17,90.804596,74.14773,47,lowRisk,3/14/2023,,,,,,,,,,,,,,,,,,,34,30,37.5,4,66.666664,36.079544,49,lowRisk,3/14/2023,,,3,0,,11
Early Reading English,,,,,,766563,,,,,,,,Kindergarten,Spring,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,96.55173,75.42614,49,lowRisk,,,,,,,,,45,45,45,100,75.28409,50,lowRisk,3/15/2023,14,14,14,94.25288,70.880684,51,lowRisk,3/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,28,21,21,93.10345,78.97727,53,lowRisk,3/15/2023,,,,,,,,,,,,,,,,,,,34,33,38.08,1,81.60919,76.420456,79,lowRisk,3/15/2023,,,0,0,,7
Early Reading English,,,,,,770487,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,18.181818,19.213974,11,highRisk,,,,,,,,,23,19,19,31.818182,39.389534,23,someRisk,11/28/2022,8,5,5,34.090908,42.50364,31,someRisk,11/28/2022,16,11,5.2,5,11.363636,14.098837,10,highRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4,4.9,30,5.681818,9.606987,7,highRisk,11/28/2022,,,4,3,,
Early Reading English,,,,,,216739,,,,,,,,Kindergarten,Winter,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,42.045456,48.617176,34,someRisk,,,,,,,,,25,24,24,46.590908,52.90698,35,someRisk,11/22/2022,6,3,3,21.59091,27.656477,21,someRisk,11/22/2022,16,16,7.22,0,39.772728,42.296513,99,lowRisk,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,25,17.44,9,57.954544,49.6361,40,lowRisk,11/22/2022,,,1,3,,
Early Reading English,,,,,,126225,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,18.181818,19.213974,11,highRisk,,,,,,,,,13,7,7,13.636364,14.244186,7,highRisk,11/21/2022,8,5,5,34.090908,42.50364,31,someRisk,11/21/2022,16,15,5.59,1,29.545454,32.122093,33,someRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3,1.58,31,2.2727273,8.588064,6,highRisk,11/21/2022,,,6,3,,
Early Reading English,,,,,,877572,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,94.318184,93.0131,81,lowRisk,,,,,,,,,48,48,48,95.454544,95.058136,85,lowRisk,11/21/2022,14,13,13,86.36364,88.20961,78,lowRisk,11/21/2022,16,16,12,0,39.772728,42.296513,99,lowRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,30,33.96,4,84.09091,72.780205,75,lowRisk,11/21/2022,,,0,1,,
Early Reading English,,,,,,388389,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,11.363636,16.011644,9,highRisk,,,,,,,,,12,1,1,1.1363636,3.3430233,1,highRisk,11/21/2022,10,0,0,0,0,5,highRisk,11/21/2022,16,14,6.56,2,19.318182,27.034883,21,someRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,14,9.23,20,28.40909,28.52984,20,someRisk,11/21/2022,,,11,10,,
Early Reading English,,,,,,356787,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,70.454544,73.21689,58,lowRisk,,,,,,,,,26,24,24,46.590908,52.90698,35,someRisk,11/28/2022,10,10,10,62.5,71.761284,60,lowRisk,11/28/2022,16,16,13.52,0,39.772728,42.296513,99,lowRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,51.89,2,97.72727,89.37409,88,lowRisk,11/28/2022,,,2,0,,
Early Reading English,,,,,,334053,,,,,,,,Kindergarten,Winter,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,2.9112082,2,highRisk,,,,,,,,,10,0,0,0,0,1,highRisk,11/22/2022,10,0,0,0,0,5,highRisk,11/22/2022,16,6,5.22,10,2.2727273,3.488372,3,highRisk,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,7.14,29,6.818182,10.334789,7,highRisk,11/22/2022,,,10,10,,
Early Reading English,,,,,,872246,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,83.72093,81.659386,68,lowRisk,,,,,,,,,33,33,33,79.06977,78.924416,58,lowRisk,11/28/2022,16,14,14,90.69768,91.557495,82,lowRisk,11/28/2022,16,16,11.29,0,47.67442,42.296513,99,lowRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,28,40,6,56.976746,60.26201,55,lowRisk,11/28/2022,,,0,2,,
Early Reading English,,,,,,809570,,,,,,,,Kindergarten,Winter,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,11.363636,16.011644,9,highRisk,,,,,,,,,12,4,4,5.681818,10.174418,4,highRisk,11/22/2022,10,1,1,10.227273,13.100436,10,highRisk,11/22/2022,16,14,6.51,2,19.318182,27.034883,21,someRisk,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,10,4.05,24,15.909091,19.505095,14,someRisk,11/22/2022,,,8,9,,
Early Reading English,,,,,,876646,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,70.454544,73.21689,58,lowRisk,,,,,,,,,21,20,20,34.090908,41.860466,25,someRisk,11/21/2022,12,12,12,79.545456,83.551674,72,lowRisk,11/21/2022,16,16,9.14,0,39.772728,42.296513,99,lowRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,31,28.18,3,93.181816,83.11499,81,lowRisk,11/21/2022,,,1,0,,
Early Reading English,,,,,,671858,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,65.90909,67.97671,53,lowRisk,,,,,,,,,32,28,28,65.90909,65.69768,46,lowRisk,11/21/2022,12,11,11,71.59091,77.583694,67,lowRisk,11/21/2022,16,16,11.71,0,39.772728,42.296513,99,lowRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,24,10.07,10,54.545456,46.72489,37,someRisk,11/21/2022,,,4,1,,
Early Reading English,,,,,,191161,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,29.545454,36.390102,24,someRisk,,,,,,,,,26,23,23,43.18182,49.854652,32,someRisk,11/21/2022,10,8,8,47.727272,60.55313,48,lowRisk,11/21/2022,16,15,6.98,1,29.545454,32.122093,33,someRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,8,3.69,26,9.090909,14.701601,11,highRisk,11/21/2022,,,3,2,,
Early Reading English,,,,,,719176,,,,,,,,Kindergarten,Winter,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2.2727273,4.8034935,2,highRisk,,,,,,,,,12,1,1,1.1363636,3.3430233,1,highRisk,11/22/2022,9,1,1,10.227273,13.100436,10,highRisk,11/22/2022,16,9,3.94,7,7.9545455,9.156977,6,highRisk,11/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,3,highRisk,11/22/2022,,,11,8,,
Early Reading English,,,,,,542417,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,11.363636,16.011644,9,highRisk,,,,,,,,,17,9,9,20.454546,18.75,10,highRisk,11/28/2022,7,1,1,10.227273,13.100436,10,highRisk,11/28/2022,16,16,9.06,0,39.772728,42.296513,99,lowRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3,3.05,31,2.2727273,8.588064,6,highRisk,11/28/2022,,,8,6,,
Early Reading English,,,,,,198246,,,,,,,,Kindergarten,Winter,11/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,72.94118,45.123726,31,someRisk,,,,,,,,,31,29,29,85.882355,68.60465,49,lowRisk,11/29/2022,12,11,11,89.411766,77.583694,67,lowRisk,11/29/2022,16,16,9.23,0,52.941177,42.296513,99,lowRisk,11/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,7.69,29,27.058823,10.334789,7,highRisk,11/29/2022,,,2,1,,
Early Reading English,,,,,,781453,,,,,,,,Kindergarten,Winter,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,31.764706,16.011644,9,highRisk,,,,,,,,,9,3,3,10.588235,8.575582,3,highRisk,11/30/2022,10,0,0,0,0,5,highRisk,11/30/2022,16,16,12.47,0,52.941177,42.296513,99,lowRisk,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,10,15,24,43.52941,19.505095,14,someRisk,11/30/2022,,,6,10,,
Early Reading English,,,,,,835392,,,,,,,,Kindergarten,Winter,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,50.588234,30.276566,19,someRisk,,,,,,,,,10,7,7,24.705883,14.244186,7,highRisk,11/30/2022,5,0,0,0,0,5,highRisk,11/30/2022,16,16,8.97,0,52.941177,42.296513,99,lowRisk,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,25,23.08,9,75.29412,49.6361,40,lowRisk,11/30/2022,,,3,5,,
Early Reading English,,,,,,671412,,,,,,,,Kindergarten,Winter,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1.1764706,1.4556041,1,highRisk,,,,,,,,,10,0,0,0,0,1,highRisk,11/30/2022,10,0,0,0,0,5,highRisk,11/30/2022,16,7,3.21,9,9.411765,4.9418607,4,highRisk,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,3,highRisk,11/30/2022,,,10,10,,
Early Reading English,,,,,,539898,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,16.470589,8.296944,5,highRisk,,,,,,,,,12,7,7,24.705883,14.244186,7,highRisk,11/28/2022,6,0,0,0,0,5,highRisk,11/28/2022,16,12,5.18,4,28.235294,17.58721,12,highRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,3,highRisk,11/28/2022,,,5,6,,
Early Reading English,,,,,,331148,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,65.882355,40.17467,27,someRisk,,,,,,,,,33,31,31,94.117645,73.54651,54,lowRisk,11/21/2022,14,12,12,94.117645,83.551674,72,lowRisk,11/21/2022,16,14,10.24,2,36.47059,27.034883,21,someRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4,5.22,30,24.705883,9.606987,7,highRisk,11/21/2022,,,2,2,,
Early Reading English,,,,,,571029,,,,,,,,Kindergarten,Winter,11/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,85.882355,63.173218,48,lowRisk,,,,,,,,,27,22,22,65.882355,47.09302,30,someRisk,11/29/2022,12,11,11,89.411766,77.583694,67,lowRisk,11/29/2022,16,16,13.71,0,52.941177,42.296513,99,lowRisk,11/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,25,28.3,9,75.29412,49.6361,40,lowRisk,11/29/2022,,,5,1,,
Early Reading English,,,,,,717889,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,65.882355,40.17467,27,someRisk,,,,,,,,,35,30,30,90.588234,70.78488,51,lowRisk,11/28/2022,12,5,5,68.23529,42.50364,31,someRisk,11/28/2022,16,16,12.47,0,52.941177,42.296513,99,lowRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,12.79,21,57.64706,27.074236,18,someRisk,11/28/2022,,,5,7,,
Early Reading English,,,,,,391704,,,,,,,,One,Winter,11/28/2022,19,15,15,79,4,34.482758,29.298487,13,highRisk,11/28/2022,,,,,,,,,,,,,,,,,,35,36.206898,30.536451,14,highRisk,,,,,,,,,,,,,,,,,15,13,13,48.275864,39.477303,24,someRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,15,31.034483,26.685007,12,highRisk,11/28/2022,,,,,,,,,,,,,,,,,,,34,33,37.36,1,53.448277,61.898212,67,lowRisk,11/28/2022,,,,2,,5
Early Reading English,,,,,,948749,,,,,,,,Kindergarten,Winter,12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,51.785713,33.770016,21,someRisk,,,,,,,,,12,11,11,42.857143,22.38372,12,highRisk,12/2/2022,6,3,3,48.214287,27.656477,21,someRisk,12/2/2022,16,16,9.5,0,46.42857,42.296513,99,lowRisk,12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,20,17.65,14,57.142857,38.719067,29,someRisk,12/2/2022,,,1,3,,
Early Reading English,,,,,,106814,,,,,,,,Kindergarten,Winter,12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,64.28571,48.617176,34,someRisk,,,,,,,,,22,21,21,71.42857,45.203487,28,someRisk,12/2/2022,10,6,6,67.85714,49.053856,36,lowRisk,12/2/2022,16,16,10.21,0,46.42857,42.296513,99,lowRisk,12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,20.29,11,60.714287,44.541485,35,someRisk,12/2/2022,,,1,4,,
Early Reading English,,,,,,895667,,,,,,,,Kindergarten,Winter,12/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,85.71429,67.97671,53,lowRisk,,,,,,,,,22,22,22,75,47.09302,30,someRisk,12/1/2022,10,10,10,92.85714,71.761284,60,lowRisk,12/1/2022,16,16,8.35,0,46.42857,42.296513,99,lowRisk,12/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,31,6.86,3,98.21429,83.11499,81,lowRisk,12/1/2022,,,0,0,,
Early Reading English,,,,,,944962,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,50.588234,30.276566,19,someRisk,,,,,,,,,31,27,27,75.29412,61.918606,43,lowRisk,11/21/2022,7,3,3,52.941177,27.656477,21,someRisk,11/21/2022,16,14,7.43,2,36.47059,27.034883,21,someRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,12,14.12,22,54.117645,25.473072,17,someRisk,11/21/2022,,,4,4,,
Early Reading English,,,,,,456778,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,50.588234,30.276566,19,someRisk,,,,,,,,,30,24,24,71.76471,52.90698,35,someRisk,11/28/2022,11,3,3,52.941177,27.656477,21,someRisk,11/28/2022,16,13,8.48,3,30.588236,21.511627,16,someRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,16,18.82,18,61.17647,32.16885,22,someRisk,11/28/2022,,,6,8,,
Early Reading English,,,,,,263032,,,,,,,,Kindergarten,Winter,12/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,46.42857,25.18195,14,someRisk,,,,,,,,,13,13,13,51.785713,27.32558,14,someRisk,12/1/2022,7,6,6,67.85714,49.053856,36,lowRisk,12/1/2022,16,13,7.09,3,25,21.511627,16,someRisk,12/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,8,5,26,17.857143,14.701601,11,highRisk,12/1/2022,,,0,1,,
Early Reading English,,,,,,325772,,,,,,,,Kindergarten,Winter,12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,75,57.3508,43,lowRisk,,,,,,,,,30,27,27,80.35714,61.918606,43,lowRisk,12/2/2022,11,9,9,89.28571,65.64774,54,lowRisk,12/2/2022,16,16,11.29,0,46.42857,42.296513,99,lowRisk,12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,21,19.09,13,58.92857,41.339157,30,someRisk,12/2/2022,,,3,2,,
Early Reading English,,,,,,479201,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,60,36.390102,24,someRisk,,,,,,,,,24,21,21,64.70588,45.203487,28,someRisk,11/21/2022,12,9,9,82.35294,65.64774,54,lowRisk,11/21/2022,16,15,8.26,1,44.705883,32.122093,33,someRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,8,4.62,26,35.294117,14.701601,11,highRisk,11/21/2022,,,3,3,,
Early Reading English,,,,,,301629,,,,,,,,Kindergarten,Winter,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0.29112083,1,highRisk,,,,,,,,,10,0,0,0,0,1,highRisk,11/30/2022,10,0,0,0,0,5,highRisk,11/30/2022,16,4,2.07,12,0,1.1627907,1,highRisk,11/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,3,highRisk,11/30/2022,,,10,10,,
Early Reading English,,,,,,838797,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,65.882355,40.17467,27,someRisk,,,,,,,,,17,13,13,41.17647,27.32558,14,someRisk,11/28/2022,9,9,9,82.35294,65.64774,54,lowRisk,11/28/2022,16,13,5.74,3,30.588236,21.511627,16,someRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,21,28.64,13,70.588234,41.339157,30,someRisk,11/28/2022,,,4,0,,
Early Reading English,,,,,,172933,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,31.764706,16.011644,9,highRisk,,,,,,,,,12,3,3,10.588235,8.575582,3,highRisk,11/28/2022,8,1,1,34.117645,13.100436,10,highRisk,11/28/2022,16,14,5.96,2,36.47059,27.034883,21,someRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,10,8.82,24,43.52941,19.505095,14,someRisk,11/28/2022,,,9,7,,
Early Reading English,,,,,,148050,,,,,,,,Kindergarten,Winter,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,15.294118,7.2780204,4,highRisk,,,,,,,,,17,8,8,27.058823,15.843023,8,highRisk,11/28/2022,15,1,1,34.117645,13.100436,10,highRisk,11/28/2022,16,10,4.72,6,20,11.482558,8,highRisk,11/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,3,highRisk,11/28/2022,,,9,14,,
Early Reading English,,,,,,338968,,,,,,,,Kindergarten,Winter,11/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,65.882355,40.17467,27,someRisk,,,,,,,,,13,12,12,37.64706,25,13,highRisk,11/29/2022,8,8,8,81.17647,60.55313,48,lowRisk,11/29/2022,16,16,960,0,52.941177,42.296513,99,lowRisk,11/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,18,16.62,16,68.23529,35.80786,25,someRisk,11/29/2022,,,1,0,,
Early Reading English,,,,,,910620,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,38.82353,19.213974,11,highRisk,,,,,,,,,29,27,27,75.29412,61.918606,43,lowRisk,11/21/2022,7,0,0,0,0,5,highRisk,11/21/2022,16,15,7.96,1,44.705883,32.122093,33,someRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,34,0,0,3,highRisk,11/21/2022,,,2,7,,
Early Reading English,,,,,,403445,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4.7058825,2.9112082,2,highRisk,,,,,,,,,16,8,8,27.058823,15.843023,8,highRisk,11/21/2022,10,0,0,0,0,5,highRisk,11/21/2022,16,6,3.08,10,5.882353,3.488372,3,highRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,1.71,33,16.470589,5.9679766,4,highRisk,11/21/2022,,,8,10,,
Early Reading English,,,,,,391476,,,,,,,,One,Winter,12/2/2022,143,143,143,100,0,100,99.31224,97,AV,12/2/2022,,,,,,,,,,,,,,,,,,84,97.77778,95.04814,81,lowRisk,,,,,,,,,,,,,,,,,16,16,16,81.111115,54.88308,36,someRisk,12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,85,85,85,96.666664,94.63549,87,lowRisk,11/29/2022,,,,,,,,,,,,,,,,,,,34,31,32.63,3,48.88889,38.651993,46,lowRisk,11/30/2022,,,,0,,0
Early Reading English,,,,,,575435,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,89.411766,67.97671,53,lowRisk,,,,,,,,,25,23,23,67.05882,49.854652,32,someRisk,11/21/2022,12,11,11,89.411766,77.583694,67,lowRisk,11/21/2022,16,16,16,0,52.941177,42.296513,99,lowRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,28,22.4,6,82.35294,60.26201,55,lowRisk,11/21/2022,,,2,1,,
Early Reading English,,,,,,766563,,,,,,,,Kindergarten,Winter,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,94.117645,73.21689,58,lowRisk,,,,,,,,,32,32,32,97.64706,76.308136,56,lowRisk,11/21/2022,8,8,7.87,80,60.40757,47,lowRisk,11/21/2022,16,16,10.32,0,52.941177,42.296513,99,lowRisk,11/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29,29,5,85.882355,65.50218,63,lowRisk,11/21/2022,,,0,0,,
